"name","description",lat,lon
"1000 et une proprietes","181 rue de la pompe  75116 paris 75116
01 47 27 20 96",48.870962,2.283251
"12eme avenue sarl","90 avenue de saint mande  75012 paris 12ème 75012
01 44 75 31 80",48.844415,2.406271
"17ème etoile immobilier","37 rue laugier  75017 paris 75017
01 43 80 60 80",48.88181,2.294838
"18 marignan","18 rue de marignan   75008 paris 8ème 75008
01 42 56 70 72",48.869106,2.306578
"2beapart","25 av de wagram  75017 paris 17ème 75017
01 55 30 04 31",48.876228,2.296548
"2c2i - agence du gros caillou","14 rue augereau  75007 paris 7ème 75007
0145559853 / /0679881638",48.857309,2.301975
"2p-i paris planète immobilier","58 rue cherche midi  75006 paris 75006
01 45 44 46 44",48.848862,2.325058
"3 2 1  international","24 rue louis blanc  75010 paris 75010
01 45 80 73 32",48.88059,2.36622
"3 mell real estate","65 67 rue du faubourg st honore  75008 paris 8ème 75008
01 40 07 90 55",48.871351,2.315395
"A 2 a","33 rue marbeuf  75008 paris 75008
01 46 22 66 55",48.869421,2.304829
"A beucher immobilier","13 rue de bellefond  75009 paris 9ème 75009
01 45 26 84 19",48.877619,2.347814
"A et v immobilier","43 rue claude bernard  75005 paris 75005
01 55 43 26 26",48.840115,2.3462
"A-part' agence immobilière","63 rue du montparnasse  75014 paris 75014
01 43 21 91 71",48.841817,2.325441
"A. b. f eurimmo","18 rue du pont aux choux  75003 paris 75003
01 42 77 78 00",48.86129,2.365179
"A.c.k. feeling international immobilier","83 rue michel ange 75016 paris 75016
01 45 27 41 01",48.841367,2.258932
"A.i.t.","37 avenue paul doumer  75016 paris 75016
01 45 03 33 85",48.860623,2.282527
"A.immo50","50 bouvelvard saint marcel  75005 paris 5ème 75005
01 71 19 70 90",48.83856,2.35679
"A.l.g immo","67 rue la boetie  75008 paris 75008
06 62 42 99 55",48.872915,2.311289
"A.m.i.p.","75 avenue parmentier  75011 paris 11ème 75011
06 07 03 19 59",48.864492,2.374945
"A.v.c.o.","14 rue du general bertrand  75007 paris 75007
06 10 49 35 16",48.847844,2.313145
"A1 paris apartments","6 rue des bernardins 75005 paris 5ème 75005
06 83 45 09 33",48.850745,2.350991
"Aaa - cabinet thisse paris 15","18 rue mademoiselle  75015 paris 75015
01 53 68 67 67",48.843553,2.295439
"Aaa - cabinet thisse paris 16","21 rue jean de la fontaine  75016 paris 16ème 75016
01 42 88 20 00",48.851524,2.273387
"Ab conseils","21 ave mozart  75016 paris 75016
01 45 24 70 10",48.856796,2.272419
"Ab home immobilier","275 277 boulevard voltaire  75011 paris 75011
01 46 59 46 59",48.84961,2.394266
"Ab immobiliere","2 rue decamps  75016 paris 16ème 75016
01 47 27 01 01",48.865364,2.282851
"Abadson","21 rue cronstadt  75015 paris 75015
01 48 28 63 46",48.834225,2.302039
"Abagestim","5 rue cognacq jay  75007 paris 7ème 75007
01 56 07 19 27",48.861662,2.304663
"Abahit immobilier","9 rue letort  75018 paris 75018
01 55 79 01 02",48.894049,2.342971
"Abberley saint honore","97 rue saint honoré 75001 paris 75001
01 40 26 50 00",48.861304,2.343102
"Abh partners","110 rue reaumur 75002 paris 75002
01 55 80 01 62",48.867555,2.346866
"Abm immobilier","111 avenue victor hugo 75784 paris cedex 16 75116
01 40 12 66 53",48.868516,2.282913
"Absolu plus immobilier","17 rue augereau  75007 paris 7ème 75007
01 45 57 03 91",48.857044,2.302285
"Absolutely parisian","6 rue ernest cresson  75014 paris 14ème 75014
09 81 13 15 25",48.832469,2.330085
"Acces immo","4 avenue trudaine  75009 paris 75009
01 45 26 60 60",48.881958,2.345907
"Acg de clarens","16 bd des batignolles  75017 paris 75017
01 44 90 07 00",48.883352,2.325625
"Ach immobilier","21 rue de picpus  75012 paris 75012
06 98 13 03 00",48.846284,2.394556
"Acheter immo","3 rue henri ribiere 75019 paris 75019
01 42 02 02 04",48.876337,2.395023
"Aci immobilier","5 avenue jean jaures 75019 paris 19ème 75019
01 40 40 02 00",48.883264,2.371485
"Acopa","77 boulevard barbes  75018 paris 75018
01 42 51 27 27",48.891315,2.34941
"Acopa","19 rue damremont  75018 paris 18ème 75018
01 53 09 33 88",48.888647,2.333054
"Acopa immobilier","108 rue ordener  75018 paris 75018
01 42 51 10 60",48.893138,2.340719
"Acp conseil immobilier","127 rue du ranelagh  75016 paris  16ème 75016
06 13 54 07 69",48.856136,2.267734
"Acquerir","51 rue caulaincourt  75018 paris 75018
01 46 06 16 36",48.889302,2.334629
"Acr expert","32 rue  le peletier  75009 paris 9ème 75009
01 42 46 34 24",48.87449,2.339381
